ppl,position,thumbnail,source,source_logo,title,link,original,sightengine,deepfake_score
Donald Trump,1,https://tse3.mm.bing.net/th/id/OIP.0FYH3xpZSlOm-7KeZc5KzgHaFF?w=164&h=180&c=7&r=0&o=7&pid=1.7&rm=3,https://www.elmundo.es/e/do/donald-trump.html,https://tse1.mm.bing.net/th/id/ODF.EkAJUUdXlppU1JWV3Lvo2Q?w=12&h=12&c=7&rs=1&p=0&r=0&o=7&pid=1.7&rm=3,Donald Trump - Noticias de Donald Trump | EL MUNDO,https://www.bing.com/images/search?view=detailV2&ccid=0FYH3xpZ&id=2B66A0A2A0D372BAD7BAFC54D40B3165332544BB&thid=OIP.0FYH3xpZSlOm-7KeZc5KzgHaFF&mediaurl=https%3a%2f%2fe00-elmundo.uecdn.es%2fassets%2fmultimedia%2fimagenes%2f2024%2f07%2f02%2f17199478222621.jpg&cdnurl=https%3a%2f%2fth.bing.com%2fth%2fid%2fR.d05607df1a594a53a6fbb29e65ce4ace%3frik%3du0QlM2UxC9RU%252fA%26pid%3dImgRaw%26r%3d0&exph=2108&expw=3072&q=Donald+Trump&simid=608022934785766793&FORM=IRPRST&ck=3A1AFA86C1F62405C141667CCA00C2DC&selectedIndex=70&itb=0,https://e00-elmundo.uecdn.es/assets/multimedia/imagenes/2024/07/02/17199478222621.jpg,0.01,4.872048098292225e-09
Donald Trump,2,https://tse4.mm.bing.net/th/id/OIP.5TjtSLeKD_V_LUIJy8mpoAHaEK?w=253&h=180&c=7&r=0&o=7&pid=1.7&rm=3,https://www.zdf.de/nachrichten/politik/ausland/donald-trump-strafprozess-jury-100.html,,Prozess gegen Trump: Amerikas wichtigstes Casting - ZDFheute,https://www.bing.com/images/search?view=detailV2&ccid=5TjtSLeK&id=774A0EAF1F0C52582DE4EB9510578C1D0BD3EE75&thid=OIP.5TjtSLeKD_V_LUIJy8mpoAHaEK&mediaurl=https%3a%2f%2fwww.zdf.de%2fassets%2fdonald-trump-prozess-new-york-100%7e3840x2160%3fcb%3d1713106450961&cdnurl=https%3a%2f%2fth.bing.com%2fth%2fid%2fR.e538ed48b78a0ff57f2d4209cbc9a9a0%3frik%3dde7TCx2MVxCV6w%26pid%3dImgRaw%26r%3d0&exph=2160&expw=3840&q=Donald+Trump&simid=608049950119246321&FORM=IRPRST&ck=5DA39BFE3E02CEC1C9C58D70A0BFF83B&selectedIndex=71&itb=0,https://www.zdf.de/assets/donald-trump-prozess-new-york-100~3840x2160?cb=1713106450961,0.01,0.0019772641826421022
Donald Trump,3,https://tse2.mm.bing.net/th/id/OIP.j5HHw92jQoZJpHM7MAz5PAHaGJ?w=129&h=180&c=7&r=0&o=7&pid=1.7&rm=3,https://www.usatoday.com/story/news/politics/2023/04/04/trump-arrested-arraigned-takeaways/11594611002/,,Trump was arrested today. Here are the key takeaways.,https://www.bing.com/images/search?view=detailV2&ccid=j5HHw92j&id=42E2541D26BC3B5779F2A795BD685DDD88A22D21&thid=OIP.j5HHw92jQoZJpHM7MAz5PAHaGJ&mediaurl=https%3a%2f%2fwww.usatoday.com%2fgcdn%2fpresto%2f2023%2f04%2f04%2fUSAT%2f2fc435aa-c226-46c0-943d-c6b421bd1969-USP_News__Arraignment_of_former_President_Donald_T.jpg%3fwidth%3d1320%26height%3d1096%26fit%3dcrop%26format%3dpjpg%26auto%3dwebp&cdnurl=https%3a%2f%2fth.bing.com%2fth%2fid%2fR.8f91c7c3dda3428649a4733b300cf93c%3frik%3dIS2iiN1daL2Vpw%26pid%3dImgRaw%26r%3d0&exph=1096&expw=1320&q=Donald+Trump&simid=608020735786032709&FORM=IRPRST&ck=30FA3184320064CF7D778DD88625F0E7&selectedIndex=72&itb=0,https://www.usatoday.com/gcdn/presto/2023/04/04/USAT/2fc435aa-c226-46c0-943d-c6b421bd1969-USP_News__Arraignment_of_former_President_Donald_T.jpg?width=1320&height=1096&fit=crop&format=pjpg&auto=webp,0.01,0.00689202593639493
Donald Trump,4,https://tse4.mm.bing.net/th/id/OIP.9gQs6csqXYLWwP91OPoMTwHaEK?w=254&h=180&c=7&r=0&o=7&pid=1.7&rm=3,https://puntoconvergente.uca.edu.ar/quien-es-donald-trump-el-nuevo-presidente-de-estados-unidos/,,"Donald Trump, el ""outsider"" que rompió los manuales de la política y ...",https://www.bing.com/images/search?view=detailV2&ccid=9gQs6csq&id=85C762D95E7F15963BDB32834D8E58A3B2320561&thid=OIP.9gQs6csqXYLWwP91OPoMTwHaEK&mediaurl=https%3a%2f%2fpuntoconvergente.uca.edu.ar%2fwp-content%2fuploads%2f2024%2f11%2f716b7bc45f403730fc272daf79786e7dd703bd5cw-1.jpg&cdnurl=https%3a%2f%2fth.bing.com%2fth%2fid%2fR.f6042ce9cb2a5d82d6c0ff7538fa0c4f%3frik%3dYQUysqNYjk2DMg%26pid%3dImgRaw%26r%3d0&exph=1080&expw=1920&q=Donald+Trump&simid=608049915802550414&FORM=IRPRST&ck=DDA24F94644DEB5A1E83F95F22155659&selectedIndex=73&itb=0,https://puntoconvergente.uca.edu.ar/wp-content/uploads/2024/11/716b7bc45f403730fc272daf79786e7dd703bd5cw-1.jpg,0.01,2.3908687580842525e-06
Donald Trump,5,https://tse2.mm.bing.net/th/id/OIP.L78k6WG8II3zrpH9pNtCxgHaEK?w=255&h=180&c=7&r=0&o=7&pid=1.7&rm=3,https://www.foxnews.com/opinion/president-trumps-closing-argument-vote-republican-and-continue-the-jobs-boom,https://tse4.mm.bing.net/th/id/ODF.mdH-v7wPV5psO7NVm756zg?w=12&h=12&c=7&rs=1&p=0&r=0&o=7&pid=1.7&rm=3,President Trump's closing argument: Vote Republican and continue the ...,https://www.bing.com/images/search?view=detailV2&ccid=L78k6WG8&id=9289AFAB3D2B8DD8CBEA2DEF4B35CF7B14768B85&thid=OIP.L78k6WG8II3zrpH9pNtCxgHaEK&mediaurl=https%3a%2f%2fstatic.foxnews.com%2ffoxnews.com%2fcontent%2fuploads%2f2018%2f11%2fTrump-OPED1.jpg&cdnurl=https%3a%2f%2fth.bing.com%2fth%2fid%2fR.2fbf24e961bc208df3ae91fda4db42c6%3frik%3dhYt2FHvPNUvvLQ%26pid%3dImgRaw%26r%3d0&exph=576&expw=1024&q=Donald+Trump&simid=608054030366833427&FORM=IRPRST&ck=B6DED316F6FB1FBED6BB6194EAD53FD4&selectedIndex=74&itb=0,https://static.foxnews.com/foxnews.com/content/uploads/2018/11/Trump-OPED1.jpg,0.01,1.6298054106300697e-06
Donald Trump,6,https://tse4.mm.bing.net/th/id/OIP.YRBOB6PmohPJeycUU6KJuQHaEK?w=255&h=180&c=7&r=0&o=7&pid=1.7&rm=3,https://www.nytimes.com/2023/03/20/nyregion/alvin-bragg-trump-indictment.html,,The prosecutor in the Trump case waded into treacherous political ...,https://www.bing.com/images/search?view=detailV2&ccid=YRBOB6Pm&id=A2E46FF237C707D36422C3ED1BFE6B2FC580F8D9&thid=OIP.YRBOB6PmohPJeycUU6KJuQHaEK&mediaurl=https%3a%2f%2fstatic01.nyt.com%2fimages%2f2023%2f03%2f20%2fmultimedia%2f20trump-indicted-Bragg-lgzm%2f20trump-indicted-Bragg-lgzm-videoSixteenByNine3000.jpg&cdnurl=https%3a%2f%2fth.bing.com%2fth%2fid%2fR.61104e07a3e6a213c97b271453a289b9%3frik%3d2fiAxS9r%252fhvtww%26pid%3dImgRaw%26r%3d0&exph=1688&expw=3000&q=Donald+Trump&simid=608045174182073505&FORM=IRPRST&ck=DC5D27D88F3A19629FD2D23DA0A0DEF4&selectedIndex=75&itb=0,https://static01.nyt.com/images/2023/03/20/multimedia/20trump-indicted-Bragg-lgzm/20trump-indicted-Bragg-lgzm-videoSixteenByNine3000.jpg,0.01,0.0009879556018859148
Donald Trump,7,https://tse3.mm.bing.net/th/id/OIP.31O4H9_XexNjgjNP6jAFXAHaE7?w=215&h=180&c=7&r=0&o=7&pid=1.7&rm=3,https://www.nytimes.com/2023/10/02/nyregion/trump-fraud-trial-letitia-james.html,,Trump’s Fraud Trial Starts With Attacks on Attorney General an…,https://www.bing.com/images/search?view=detailV2&ccid=31O4H9%2fX&id=4B6671FE031FF9E6ADCCC8C4A97E2D54C12432BE&thid=OIP.31O4H9_XexNjgjNP6jAFXAHaE7&mediaurl=https%3a%2f%2fstatic01.nyt.com%2fimages%2f2023%2f10%2f02%2fnyregion%2f02-trump-trial-pinned-item%2f02-trump-trial-pinned-item-superJumbo.jpg%3fquality%3d75%26auto%3dwebp&cdnurl=https%3a%2f%2fth.bing.com%2fth%2fid%2fR.df53b81fdfd77b136382334fea30055c%3frik%3dvjIkwVQtfqnEyA%26pid%3dImgRaw%26r%3d0&exph=1365&expw=2048&q=Donald+Trump&simid=608013228178804220&FORM=IRPRST&ck=FB8C898D4775BB9EC525E213088127D4&selectedIndex=76&itb=0,https://static01.nyt.com/images/2023/10/02/nyregion/02-trump-trial-pinned-item/02-trump-trial-pinned-item-superJumbo.jpg?quality=75&auto=webp,0.01,3.848042524623452e-07
Donald Trump,8,https://tse3.mm.bing.net/th/id/OIP.QBcjv2KxiKRL1f2Qkir7DQHaEK?w=255&h=180&c=7&r=0&o=7&pid=1.7&rm=3,https://www.nytimes.com/2023/08/03/us/politics/trump-lawyers-defense-team.html,,Who Is on Trump’s Defense Team? - The New York Times,https://www.bing.com/images/search?view=detailV2&ccid=QBcjv2Kx&id=85A7183B62DB6A001A967F00E67AC7B45E79EDCE&thid=OIP.QBcjv2KxiKRL1f2Qkir7DQHaEK&mediaurl=https%3a%2f%2fstatic01.nyt.com%2fimages%2f2023%2f08%2f03%2fmultimedia%2f03trump-arraignment-election-defense-lawyers-vjpg%2f03trump-arraignment-election-defense-lawyers-vjpg-videoSixteenByNine3000.jpg&cdnurl=https%3a%2f%2fth.bing.com%2fth%2fid%2fR.401723bf62b188a44bd5fd90922afb0d%3frik%3dzu15XrTHeuYAfw%26pid%3dImgRaw%26r%3d0&exph=1686&expw=3000&q=Donald+Trump&simid=608023703604384726&FORM=IRPRST&ck=60258EB03235A95C4761F3E95B90F026&selectedIndex=77&itb=0,https://static01.nyt.com/images/2023/08/03/multimedia/03trump-arraignment-election-defense-lawyers-vjpg/03trump-arraignment-election-defense-lawyers-vjpg-videoSixteenByNine3000.jpg,0.01,1.2528335901151877e-05
Donald Trump,9,https://tse3.mm.bing.net/th/id/OIP.6Ptnu1xja-N_g97i0gQq5QHaE4?w=239&h=180&c=7&r=0&o=7&pid=1.7&rm=3,https://thespun.com/nfl/nfl-owner-called-out-by-media-after-supporting-donald-trump,,NFL Owner Called Out By Media After Supporting Donald Trump - The Spun,https://www.bing.com/images/search?view=detailV2&ccid=6Ptnu1xj&id=070CBEFB2FE54933F488BFED69CD9BF76DBC7554&thid=OIP.6Ptnu1xja-N_g97i0gQq5QHaE4&mediaurl=https%3a%2f%2fthespun.com%2f.image%2ft_share%2fMjAwMzc2MDg1NjcyNjMzNDUy%2fformer-president-donald-trump-surrenders-to-fulton-county-jail-in-election-case.jpg&cdnurl=https%3a%2f%2fth.bing.com%2fth%2fid%2fR.e8fb67bb5c636be37f83dee2d2042ae5%3frik%3dVHW8bfebzWntvw%26pid%3dImgRaw%26r%3d0&exph=790&expw=1200&q=Donald+Trump&simid=608033573466686830&FORM=IRPRST&ck=09B58A99BA5C50B703EE0E8137D8F39D&selectedIndex=78&itb=0,https://thespun.com/.image/t_share/MjAwMzc2MDg1NjcyNjMzNDUy/former-president-donald-trump-surrenders-to-fulton-county-jail-in-election-case.jpg,0.01,0.00010334938997402787
Donald Trump,10,https://tse4.mm.bing.net/th/id/OIP.i5XLlnegkJqALtT823mKBAHaE8?w=236&h=180&c=7&r=0&o=7&pid=1.7&rm=3,https://www.nytimes.com/2023/06/12/us/politics/trump-documents-court-miami.html,,What to Expect When Trump Is Charged in the Documents Case o…,https://www.bing.com/images/search?view=detailV2&ccid=i5XLlneg&id=00CF464C073B3DCE1D4118C2B37EAC088270CDCE&thid=OIP.i5XLlnegkJqALtT823mKBAHaE8&mediaurl=https%3a%2f%2fstatic01.nyt.com%2fimages%2f2023%2f06%2f12%2fmultimedia%2f12dc-trump-preview-arrival-mzwc%2f12dc-trump-preview-arrival-mzwc-articleLarge.jpg%3fquality%3d75%26auto%3dwebp%26disable%3dupscale&cdnurl=https%3a%2f%2fth.bing.com%2fth%2fid%2fR.8b95cb9677a0909a802ed4fcdb798a04%3frik%3dzs1wggisfrPCGA%26pid%3dImgRaw%26r%3d0&exph=400&expw=600&q=Donald+Trump&simid=608048601495378230&FORM=IRPRST&ck=B08F2BE8ACE756964D7F165007934679&selectedIndex=79&itb=0,https://static01.nyt.com/images/2023/06/12/multimedia/12dc-trump-preview-arrival-mzwc/12dc-trump-preview-arrival-mzwc-articleLarge.jpg?quality=75&auto=webp&disable=upscale,0.01,0.00301356241106987
