Unnamed: 0,ppl,thumbnail,deepfake_score
0,Donald Trump,https://1a-1791.com/video/fww1/cb/s8/1/J/C/h/X/JChXy.oq1b.5-small-Is-The-Biden-Autopen-Scanda.jpg,3.0265990062616765e-05
1,Donald Trump,https://1a-1791.com/video/fww1/6a/s8/1/f/E/H/P/fEHPy.oq1b.2-small-6.2.25-NO-Joe-Biden-Watch-t.jpg,
2,Donald Trump,https://1a-1791.com/video/fww1/b5/s8/1/J/c/1/R/Jc1Ry.oq1b.2-small-LIVE-WITH-JULIE.jpg,1.5805265718427108e-07
3,Donald Trump,https://1a-1791.com/video/fww1/e9/s8/1/l/X/Y/L/lXYLy.oq1b.2-small--Explaining-the-Black-Fatig.jpg,1.0747543655043046e-07
4,Donald Trump,https://1a-1791.com/video/fww1/8b/s8/1/P/9/F/L/P9FLy.oq1b.5-small--Joe-Bidens-Cancer-Diagnosi.jpg,1.5578788747916406e-07
5,Donald Trump,https://1a-1791.com/video/fww1/b3/s8/1/B/r/P/U/BrPUy.oq1b.1-small-Hidin-Joe-Biden.jpg,3.736065323778348e-08
6,Donald Trump,https://1a-1791.com/video/fww1/2a/s8/1/T/H/O/W/THOWy.oq1b.2-small-Biden-Aid-CONFESSES-to-Cong.jpg,1.0509011190151796e-06
7,Donald Trump,https://1a-1791.com/video/fww1/03/s8/1/h/w/0/U/hw0Uy.oq1b.2-small-Dems-Boycott-Probe-on-Biden.jpg,1.260408595271656e-07
8,Donald Trump,https://1a-1791.com/video/s8/1/D/q/m/a/Dqmau.oq1b.2-small-Its-So-Bad-They-Want-Biden-.jpg,5.293052254273789e-07
9,Donald Trump,https://1a-1791.com/video/fwe1/0c/s8/1/k/R/9/N/kR9Nw.oq1b.2-small-Biden-Is-Destroying-The-Cou.jpg,5.087705972073309e-07
10,Donald Trump,https://1a-1791.com/video/fw/s8/1/P/E/B/j/PEBjv.oq1b.2-small-Biden-Gives-a-Giant-Middle-.jpg,5.415390447183199e-08
11,Donald Trump,https://1a-1791.com/video/fww1/85/s8/1/V/_/t/W/V_tWy.oq1b.2-small-They-Did-This-Biden-Last-Mi.jpg,1.0558576377661666e-06
12,Donald Trump,https://1a-1791.com/video/fww1/fe/s8/1/B/U/P/L/BUPLy.oq1b.2-small-Shawn-Ryan-Bidens-Cancer-Ka.jpg,0.00013985102123115212
13,Donald Trump,https://1a-1791.com/video/fww1/51/s8/1/X/c/6/O/Xc6Oy.oq1b.2-small-Devolution-Power-Hour-Ep.-3.jpg,0.00024933379609137774
