ppl,thumbnail,deepfake_score
Donald Trump,https://i.ytimg.com/vi/qGleCS-RdIw/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAb9z73E8SUqYtuJpD5QUBoc38E7Q,
Donald Trump,https://i.ytimg.com/vi/SAnpkcDUGwQ/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDItfeRE19GmWf-aUn1oEusXMFUAA,5.220784942139289e-07
Donald Trump,https://i.ytimg.com/vi/72k1s18cnnM/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLB7FfedxNDEt_eShUq9__9ZBFx7ag,2.3568601648094045e-07
Donald Trump,https://i.ytimg.com/vi/gaCfndCeQY8/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLChC-KV2zZjc6U0po7eO-R_ZAA-yw,
Donald Trump,https://i.ytimg.com/vi/A-BhAmDLKvc/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAB1t68nahsTOAL2pkBztVXLPNomw,
Donald Trump,https://i.ytimg.com/vi/9swod2QVU9k/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDV7CpRoJgtKRVUf4TMhQjaOYMNEQ,
Donald Trump,https://i.ytimg.com/vi/1IQxQyj46lg/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBOTXesM_mqx2gcQJJr0mPKlA0_Dg,
Donald Trump,https://i.ytimg.com/vi/qsLiUfIswYo/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AHOBYACgAqKAgwIABABGGUgTShAMA8=&rs=AOn4CLDR8NniHSCJAuOU4HRRw9Je1kaWsw,
Donald Trump,https://i.ytimg.com/vi/Ol7q0gHQedg/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBjjPadHMLrzAs3rOtgIvz4KujMKg,
Donald Trump,https://i.ytimg.com/vi/gRLplD4fDRE/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBsBXeka-G4mJsd_V0sI-RTAfj1HQ,
Donald Trump,https://i.ytimg.com/vi/Enmveojtrq4/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCXoe88w9OSCFXEA5tjR5qg634imQ,
Donald Trump,https://i.ytimg.com/vi/qKnruubQI60/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLByJuW5gkMWouYt8pdvWpMegaD5VA,
Donald Trump,https://i.ytimg.com/vi/i-jixnI4WH0/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCY2aDbDgIpqCFPZCQlpd-1GjOLGw,
Donald Trump,https://i.ytimg.com/vi/k3nHXnFOfSQ/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBPNGcLRikvA-FHiotsru7jc5inNA,
Donald Trump,https://i.ytimg.com/vi/po72ngXuiPQ/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAjn5jXj1c61FseoBoiuLddx8JbCA,
Donald Trump,https://i.ytimg.com/vi/V_ZMyP2SsOI/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB8AEB-AH-CYAC0AWKAgwIABABGHIgWig8MA8=&rs=AOn4CLCkQ3orOGdCxJWOs0qtjB8eclYy8g,
Donald Trump,https://i.ytimg.com/vi/Ilz1lT0PupI/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGDUgVSh_MA8=&rs=AOn4CLDG626ahbYS3ZESzzVPBQ1EJLxURQ,
Donald Trump,https://i.ytimg.com/vi/EwHXEqThbZM/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAkSp0Gr7hwx4Kef01DpnLm-6sixQ,
Donald Trump,https://i.ytimg.com/vi/r20ig0dk9Dk/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGB8gOyh_MA8=&rs=AOn4CLAkXtMqaOsaoE4bfh9ABDsSykQ5ow,
Donald Trump,https://i.ytimg.com/vi/FwSa5pDG0Zg/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGDAgSSh_MA8=&rs=AOn4CLBgZ5gqTCCUYsMIWpx4r3FF1ibX7Q,
Donald Trump,https://i.ytimg.com/vi/QeVKPUP4Lek/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGBggMyh_MA8=&rs=AOn4CLC-9_gQszw4Y9lxLFOMc3dLW2jFgA,
Donald Trump,https://i.ytimg.com/vi/yuWtN-hON4I/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGEYgWShyMA8=&rs=AOn4CLCBmKyqJV2cPqFBl5svx76kZbLiVQ,
Donald Trump,https://i.ytimg.com/vi/5DK7iH7qtl0/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGCcgRSh_MA8=&rs=AOn4CLCo3zXQWsNnMCf72qVTfxiiJfvOKQ,
Donald Trump,https://i.ytimg.com/vi/bzg5ipBtSAY/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDlmmAXsJArzC5j2Qq6ZUp0QR5ASA,
Donald Trump,https://i.ytimg.com/vi/ddMHvdfOVCQ/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCxc-jdxoDbItfDDILETlii2wNiuA,
Donald Trump,https://i.ytimg.com/vi/72k1s18cnnM/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCnlKbbpk_SMxzYwJXymo3n5wMJrg,
Donald Trump,https://i.ytimg.com/vi/OInMF0pUgeQ/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCIjypKOiq9Pwz93Pl_NyIQmkFCGA,
Donald Trump,https://i.ytimg.com/vi/Uze2NBtZh98/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGHIgUig9MA8=&rs=AOn4CLBX14FXRB6fMsbfqe7z65F5qlYl4A,
Donald Trump,https://i.ytimg.com/vi/VSWSiFwK1o8/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB8AEB-AH-CYAC0AWKAgwIABABGBQgMyh_MA8=&rs=AOn4CLCTIoDFcrPugl3QO4Chw6ku3uOSiw,
Donald Trump,https://i.ytimg.com/vi/3uR7X8OcFE8/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGCsgQyh_MA8=&rs=AOn4CLC8cWb0gafp31F3fA4f4AjB_vW-Og,
Donald Trump,https://i.ytimg.com/vi/zYLz8OFnMLE/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLD7SOKXxfleogkvwc_ohFbi8bsPtg,
Donald Trump,https://i.ytimg.com/vi/-oKc1wIZ6vA/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AHOBYACgAqKAgwIABABGH8gRygrMA8=&rs=AOn4CLDDXnlPK9MEutt76x6-C48ZxiUMSA,
Donald Trump,https://i.ytimg.com/vi/QCC37N0wtRs/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBZys7gd4NINQhqFqweO4TTnP57sA,
Donald Trump,https://i.ytimg.com/vi/SUBC9IIK5JI/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGGUgTyhKMA8=&rs=AOn4CLBQsjWkhoMiZYmdrs-hr5Ur5X6e3A,
Donald Trump,https://i.ytimg.com/vi/9DoQRSe-8qE/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGGUgUihTMA8=&rs=AOn4CLC2UJUxBf61z98HJ8TbDnuBVYzspg,
Donald Trump,https://i.ytimg.com/vi/UzP-KjQf50w/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGBMgIih_MA8=&rs=AOn4CLDlQOxBjj1dh0vF26v_xZQHzk6LXQ,
Donald Trump,https://i.ytimg.com/vi/QmKCjOug4y0/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGHIgUCg-MA8=&rs=AOn4CLC5V8Z3IOCjt_MwwphEMhj8gr3kcg,
Donald Trump,https://i.ytimg.com/vi/UofBqIS7tF8/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAnq-L3Sq89w7Wp1QKgbMynaz56Vw,
Donald Trump,https://i.ytimg.com/vi/129dHp3DdRc/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLC1-pPqeFVEBIAftJr4w5kGZ4oa-A,
Donald Trump,https://i.ytimg.com/vi/fzA8zFzNSCw/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGE8gZSg3MA8=&rs=AOn4CLC4c4RH2Hn7M3XnLJyhKloK5FoaBQ,
Donald Trump,https://i.ytimg.com/vi/09kyTU6kncs/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLB5BvfT7rwMsPLVtFt-SMfUe8b-wA,
Donald Trump,https://i.ytimg.com/vi/omL0UOmTySE/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGFIgTihlMA8=&rs=AOn4CLCGwtDflS_SntvYFS_MUWOBqjtMog,
Donald Trump,https://i.ytimg.com/vi/XEIwTe3kpBI/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCzbZ2O0FK4BbF2s_IiAUFMR2mthA,
Donald Trump,https://i.ytimg.com/vi/Yxyav3FKE-4/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGEkgVChlMA8=&rs=AOn4CLBG7vw5RqewzxG2lNIQ7t66Ji9iew,
Donald Trump,https://i.ytimg.com/vi/vL8s5Cy40k0/hqdefault.jpg?sqp=-oaymwEnCOADEI4CSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCx97-Zb24vKlPB14E2QxDC7b2fhg,
Donald Trump,https://i.ytimg.com/vi/ogwhuM3iz1U/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGCEgNyh_MA8=&rs=AOn4CLC2yIjeW6fOiCG0ehvLZSOpcP7gTA,
Donald Trump,https://i.ytimg.com/vi/kSPvBgteyZw/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGH8gLyhKMA8=&rs=AOn4CLCYldfjcYzNeRaoc7b-Ggl7sIX3uA,
Donald Trump,https://i.ytimg.com/vi/DvcmJPFIbbE/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGHIgUyhCMA8=&rs=AOn4CLDE3I0tPZBgTPROm5xgbV8d4vwPJg,
Donald Trump,https://i.ytimg.com/vi/NSa5m51lmE4/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLC7LRR9IaIVxXNsaYmrVfY_qCzeyQ,
Donald Trump,https://i.ytimg.com/vi/RLe-m6gNxJI/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGEIgVyhyMA8=&rs=AOn4CLCQIQ3j46SULJIox2CkHO_obHfxOA,
Donald Trump,https://i.ytimg.com/vi/bzPMMCO_vgM/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGGUgTShHMA8=&rs=AOn4CLDIAMs59AUpxc-R2SOodx-g5uviYA,
Donald Trump,https://i.ytimg.com/vi/Waf55MjaToM/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGEUgSyhyMA8=&rs=AOn4CLCAC993DODz6UxUiGdbnxbdZCefmQ,
