ppl,position,title,link,channel,published_date,views,thumbnail
Donald Trump,,President Trump addresses Supreme Court ruling in birthright citizenship case — 6/27/2025,https://www.youtube.com/watch?v=1IQxQyj46lg,CNBC Television,,38544,https://i.ytimg.com/vi/1IQxQyj46lg/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLD0njUDEZ9Lryhd6OnQ7iusqSwzKA
Donald Trump,,FULL Press Conference: President Trump speaks after Supreme Court Birthright Citizenship ruling,https://www.youtube.com/watch?v=ZH8FV0kK0iE,FOX 5 Washington DC,,59249,https://i.ytimg.com/vi/ZH8FV0kK0iE/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDlR7jow9tBAXhsUFBPjOjr1PkPZg
Donald Trump,,"Trade negotiations with Canada stopped, Trump says #Shorts",https://www.youtube.com/watch?v=evWXyvBFCeE,USA TODAY,,5098,https://i.ytimg.com/vi/evWXyvBFCeE/hq720_2.jpg?sqp=-oaymwE9COgCEMoBSFryq4qpAy8IARUAAAAAGAAlAADIQj0AgKJDeAHwAQH4Ad4EgAK4CIoCDAgAEAEYciBQKDowDw==&rs=AOn4CLBnF52ixHvvcZpx4dyKngr0JzOdog
Donald Trump,,"Oh Canada! Trump says he is terminating trade discussions with Canada, effective immediately",https://www.youtube.com/watch?v=X1iWsukmBMs,MSNBC,,354311,https://i.ytimg.com/vi/X1iWsukmBMs/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDLb8ORUo5Nf9CVXRAL1JBjvfm12g
Donald Trump,,BREAKING: Supreme Court sides with Trump admin in birthright citizenship case,https://www.youtube.com/watch?v=WDMYVSVJXcQ,Fox News,,743466,https://i.ytimg.com/vi/WDMYVSVJXcQ/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCAk5YhVPuf2_4yNYsYII00aX3P3Q
Donald Trump,,Watch Marco Rubio nearly lose it as Trump says 'daddy' repeatedly,https://www.youtube.com/watch?v=xFxzYZNtJ10,New York Post,,1685841,https://i.ytimg.com/vi/xFxzYZNtJ10/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBccMHX1BuvAu6ZA082ynKaPS_lJA
Donald Trump,,President Donald Trump says Canada was ‘foolish’ to continue with digital services tax,https://www.youtube.com/watch?v=V_ZMyP2SsOI,Toronto Star,,6857,https://i.ytimg.com/vi/V_ZMyP2SsOI/hq720.jpg?sqp=-oaymwE9COgCEMoBSFryq4qpAy8IARUAAAAAGAElAADIQj0AgKJDeAHwAQH4Af4JgALQBYoCDAgAEAEYciBaKDwwDw==&rs=AOn4CLBPc8W0Mhz9StNH9ER0NNdxnWyQsA
Donald Trump,,LIVE: Trump holds press briefing,https://www.youtube.com/watch?v=XTcfYqgD9Zc,Associated Press,,55436,https://i.ytimg.com/vi/XTcfYqgD9Zc/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCLn5oQahmGvEajJNAlpFhgEuRVDg
Donald Trump,,President Trump speaks following U.S. Supreme Court ruling on birthright citizenship order,https://www.youtube.com/watch?v=bzg5ipBtSAY,Eyewitness News ABC7NY,,3151,https://i.ytimg.com/vi/bzg5ipBtSAY/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCxj_2GHzVgN28wVq95gpRZjBfuTg
Donald Trump,,Trump left in awe by ‘beautiful’ reporter: ‘Could be the end of my political career’,https://www.youtube.com/watch?v=Enmveojtrq4,New York Post,,407081,https://i.ytimg.com/vi/Enmveojtrq4/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBvVqwUTlag2LanRAEzWilxpeLtFA
